iter	Passed	Remaining
779	22470	6337
780	22499	6309
781	22527	6280
782	22554	6250
783	22582	6221
784	22612	6193
785	22639	6164
786	22667	6135
787	22695	6105
788	22724	6077
789	22752	6048
790	22779	6018
791	22807	5989
792	22836	5960
793	22864	5932
794	22893	5903
795	22922	5874
796	22951	5845
797	22979	5816
798	23007	5787
799	23035	5758
800	23064	5730
801	23093	5701
802	23120	5672
803	23148	5643
804	23177	5614
805	23205	5585
806	23233	5556
807	23262	5527
808	23290	5498
809	23317	5469
810	23345	5440
811	23374	5411
812	23406	5383
813	23436	5355
814	23464	5326
815	23492	5297
816	23520	5268
817	23549	5239
818	23576	5210
819	23605	5181
820	23632	5152
821	23662	5124
822	23694	5096
823	23727	5067
824	23755	5038
825	23782	5009
826	23810	4980
827	23837	4951
828	23864	4922
829	23890	4893
830	23918	4864
831	23944	4835
832	23972	4806
833	24002	4777
834	24031	4748
835	24060	4719
836	24091	4691
837	24121	4663
838	24150	4634
839	24178	4605
840	24206	4576
841	24234	4547
842	24263	4518
843	24289	4489
844	24317	4460
845	24345	4431
846	24371	4402
847	24398	4373
848	24425	4344
849	24452	4315
850	24482	4286
851	24508	4257
852	24536	4228
853	24564	4199
854	24589	4170
855	24617	4141
856	24643	4112
857	24669	4082
858	24696	4053
859	24724	4024
860	24751	3995
861	24779	3967
862	24808	3938
863	24836	3909
864	24863	3880
865	24891	3851
866	24919	3822
867	24948	3794
868	24975	3765
869	25002	3735
870	25029	3707
871	25057	3678
872	25084	3649
873	25109	3619
874	25137	3591
875	25164	3562
876	25192	3533
877	25218	3504
878	25246	3475
879	25274	3446
880	25301	3417
881	25329	3388
882	25356	3359
883	25383	3330
884	25409	3301
885	25436	3272
886	25463	3243
887	25490	3215
888	25517	3186
889	25544	3157
890	25572	3128
891	25598	3099
892	25625	3070
893	25653	3041
894	25681	3012
895	25708	2984
896	25737	2955
897	25764	2926
898	25792	2897
899	25820	2868
900	25847	2840
901	25874	2811
902	25900	2782
903	25926	2753
904	25954	2724
905	25982	2695
906	26009	2666
907	26037	2638
908	26063	2609
909	26090	2580
910	26118	2551
911	26144	2522
912	26171	2493
913	26200	2465
914	26228	2436
915	26255	2407
916	26284	2379
917	26311	2350
918	26339	2321
919	26365	2292
920	26393	2263
921	26421	2235
922	26450	2206
923	26477	2177
924	26506	2149
925	26534	2120
926	26561	2091
927	26588	2062
928	26623	2034
929	26651	2006
930	26678	1977
931	26709	1948
932	26737	1920
933	26765	1891
934	26795	1862
935	26824	1834
936	26851	1805
937	26879	1776
938	26907	1747
939	26935	1719
940	26964	1690
941	26992	1661
942	27022	1633
943	27051	1604
944	27081	1576
945	27110	1547
946	27139	1518
947	27168	1490
948	27197	1461
949	27227	1433
950	27256	1404
951	27285	1375
952	27314	1347
953	27342	1318
954	27370	1289
955	27400	1261
956	27428	1232
957	27456	1203
958	27484	1175
959	27511	1146
960	27541	1117
961	27570	1089
962	27598	1060
963	27627	1031
964	27656	1003
965	27684	974
966	27713	945
967	27743	917
968	27771	888
969	27800	859
970	27828	831
971	27855	802
972	27884	773
973	27912	745
974	27941	716
975	27968	687
976	27997	659
977	28025	630
978	28055	601
979	28084	573
980	28111	544
981	28139	515
982	28167	487
983	28196	458
984	28223	429
985	28251	401
986	28281	372
987	28309	343
988	28338	315
989	28366	286
990	28395	257
991	28422	229
992	28449	200
993	28476	171
994	28503	143
995	28532	114
996	28559	85
997	28587	57
998	28614	28
999	28643	0
